date,facility,unit,beds,patient_days,admissions,discharges
2026-02-16,GDH,4B-PSYCHIATRIE,24,23,0,0
2026-02-16,GDH,4D ONCOLOGIE,23,22,1,1
2026-02-16,GDH,SOINS INT MED CHIRURGICAUX,10,6,0,0
2026-02-16,GDH,SOINS CORONARIENS,6,6,0,1
2026-02-16,GDH,SOINS INTERMEDIAIRES,8,6,0,0
2026-02-16,GDH,3D PEDOPSYCHIATRIE,4,4,0,0
2026-02-16,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,31,0,3
2026-02-16,GDH,3FSP-SOINS PALLIATIFS,4,4,0,0
2026-02-16,GDH,3F-EVAL./READAPTATION/AVC,17,17,0,0
2026-02-16,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,28,1,2
2026-02-16,GDH,3D-PEDIATRIE,9,9,1,2
2026-02-16,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,26,0,1
2026-02-16,GDH,4F-NEPHROLOGIE,19,20,0,0
