origin,destination,allowed
3B,3B,1
3D,3B,1
3DPEDOPSY,3B,0
3F,3B,1
3FSP,3B,0
4A,3B,1
4B,3B,0
4C,3B,1
4D,3B,1
4E,3B,1
4F,3B,1
SCHIR,3B,0
SCOR,3B,0
4CSI,3B,0
3B,3D,1
3D,3D,1
3DPEDOPSY,3D,0
3F,3D,1
3FSP,3D,0
4A,3D,1
4B,3D,0
4C,3D,1
4D,3D,1
4E,3D,1
4F,3D,1
SCHIR,3D,0
SCOR,3D,0
4CSI,3D,0
3B,3DPEDOPSY,0
3D,3DPEDOPSY,0
3DPEDOPSY,3DPEDOPSY,1
3F,3DPEDOPSY,0
3FSP,3DPEDOPSY,0
4A,3DPEDOPSY,0
4B,3DPEDOPSY,1
4C,3DPEDOPSY,0
4D,3DPEDOPSY,0
4E,3DPEDOPSY,0
4F,3DPEDOPSY,0
SCHIR,3DPEDOPSY,0
SCOR,3DPEDOPSY,0
4CSI,3DPEDOPSY,0
3B,3F,1
3D,3F,1
3DPEDOPSY,3F,0
3F,3F,1
3FSP,3F,0
4A,3F,1
4B,3F,0
4C,3F,1
4D,3F,1
4E,3F,1
4F,3F,1
SCHIR,3F,0
SCOR,3F,0
4CSI,3F,0
3B,3FSP,1
3D,3FSP,1
3DPEDOPSY,3FSP,0
3F,3FSP,1
3FSP,3FSP,1
4A,3FSP,1
4B,3FSP,0
4C,3FSP,1
4D,3FSP,1
4E,3FSP,1
4F,3FSP,1
SCHIR,3FSP,0
SCOR,3FSP,0
4CSI,3FSP,0
3B,4A,1
3D,4A,1
3DPEDOPSY,4A,0
3F,4A,1
3FSP,4A,0
4A,4A,1
4B,4A,0
4C,4A,1
4D,4A,1
4E,4A,1
4F,4A,1
SCHIR,4A,0
SCOR,4A,0
4CSI,4A,0
3B,4B,0
3D,4B,0
3DPEDOPSY,4B,1
3F,4B,0
3FSP,4B,0
4A,4B,0
4B,4B,1
4C,4B,0
4D,4B,0
4E,4B,0
4F,4B,0
SCHIR,4B,0
SCOR,4B,0
4CSI,4B,0
3B,4C,1
3D,4C,1
3DPEDOPSY,4C,0
3F,4C,1
3FSP,4C,0
4A,4C,1
4B,4C,0
4C,4C,1
4D,4C,1
4E,4C,1
4F,4C,1
SCHIR,4C,0
SCOR,4C,0
4CSI,4C,0
3B,4D,1
3D,4D,1
3DPEDOPSY,4D,0
3F,4D,1
3FSP,4D,0
4A,4D,1
4B,4D,0
4C,4D,1
4D,4D,1
4E,4D,1
4F,4D,1
SCHIR,4D,0
SCOR,4D,0
4CSI,4D,0
3B,4E,1
3D,4E,1
3DPEDOPSY,4E,0
3F,4E,1
3FSP,4E,0
4A,4E,1
4B,4E,0
4C,4E,1
4D,4E,1
4E,4E,1
4F,4E,1
SCHIR,4E,0
SCOR,4E,0
4CSI,4E,0
3B,4F,1
3D,4F,1
3DPEDOPSY,4F,0
3F,4F,1
3FSP,4F,0
4A,4F,1
4B,4F,0
4C,4F,1
4D,4F,1
4E,4F,1
4F,4F,1
SCHIR,4F,0
SCOR,4F,0
4CSI,4F,0
3B,SCHIR,1
3D,SCHIR,1
3DPEDOPSY,SCHIR,0
3F,SCHIR,1
3FSP,SCHIR,0
4A,SCHIR,1
4B,SCHIR,0
4C,SCHIR,1
4D,SCHIR,1
4E,SCHIR,1
4F,SCHIR,1
SCHIR,SCHIR,1
SCOR,SCHIR,1
4CSI,SCHIR,1
3B,SCOR,1
3D,SCOR,1
3DPEDOPSY,SCOR,0
3F,SCOR,1
3FSP,SCOR,0
4A,SCOR,1
4B,SCOR,0
4C,SCOR,1
4D,SCOR,1
4E,SCOR,1
4F,SCOR,1
SCHIR,SCOR,1
SCOR,SCOR,1
4CSI,SCOR,1
3B,4CSI,1
3D,4CSI,1
3DPEDOPSY,4CSI,0
3F,4CSI,1
3FSP,4CSI,0
4A,4CSI,1
4B,4CSI,0
4C,4CSI,1
4D,4CSI,1
4E,4CSI,1
4F,4CSI,1
SCHIR,4CSI,0
SCOR,4CSI,0
4CSI,4CSI,1
