origin,destination,allowed
3B-GYNECO/OBS,3B-GYNECO/OBS,1
3D-PEDIATRIE,3B-GYNECO/OBS,1
3D PEDOPSYCHIATRIE,3B-GYNECO/OBS,0
3F-EVAL./READAPTATION/AVC,3B-GYNECO/OBS,1
3FSP-SOINS PALLIATIFS,3B-GYNECO/OBS,0
4A-CHIR.GENERALE/GYN-ONCO/URO,3B-GYNECO/OBS,1
4B-PSYCHIATRIE,3B-GYNECO/OBS,0
4C-MED GEN/INTERNE/TELEMETRIE,3B-GYNECO/OBS,1
4D ONCOLOGIE,3B-GYNECO/OBS,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,3B-GYNECO/OBS,1
4F-NEPHROLOGIE,3B-GYNECO/OBS,1
SOINS INT MED CHIRURGICAUX,3B-GYNECO/OBS,0
SOINS CORONARIENS,3B-GYNECO/OBS,0
SOINS INTERMEDIAIRES,3B-GYNECO/OBS,0
3B-GYNECO/OBS,3D-PEDIATRIE,1
3D-PEDIATRIE,3D-PEDIATRIE,1
3D PEDOPSYCHIATRIE,3D-PEDIATRIE,0
3F-EVAL./READAPTATION/AVC,3D-PEDIATRIE,1
3FSP-SOINS PALLIATIFS,3D-PEDIATRIE,0
4A-CHIR.GENERALE/GYN-ONCO/URO,3D-PEDIATRIE,1
4B-PSYCHIATRIE,3D-PEDIATRIE,0
4C-MED GEN/INTERNE/TELEMETRIE,3D-PEDIATRIE,1
4D ONCOLOGIE,3D-PEDIATRIE,1
4E-ORTHOPEDIE/URO/ORL/PLASTIE,3D-PEDIATRIE,1
4F-NEPHROLOGIE,3D-PEDIATRIE,1
SOINS INT MED CHIRURGICAUX,3D-PEDIATRIE,0
SOINS CORONARIENS,3D-PEDIATRIE,0
SOINS INTERMEDIAIRES,3D-PEDIATRIE,0
3B-GYNECO/OBS,3D PEDOPSYCHIATRIE,0
3D-PEDIATRIE,3D PEDOPSYCHIATRIE,0
3D PEDOPSYCHIATRIE,3D PEDOPSYCHIATRIE,1
3F-EVAL./READAPTATION/AVC,3D PEDOPSYCHIATRIE,0
3FSP-SOINS PALLIATIFS,3D PEDOPSYCHIATRIE,0
4A-CHIR.GENERALE/GYN-ONCO/URO,3D PEDOPSYCHIATRIE,0
4B-PSYCHIATRIE,3D PEDOPSYCHIATRIE,1
4C-MED GEN/INTERNE/TELEMETRIE,3D PEDOPSYCHIATRIE,0
