Mnemonic,ZoneNumber,FacilityMnemonic,Name,InOutType,Active,GLCode,StatsSection
1A,6,BA,***1ST FLOOR,I,False,,1
1WEST,6,BA,***1 WEST - BATHURST,I,False,,1
2EAST,6,BA,***2 EAST - BATHURST,I,False,,1
2WEST,6,BA,***2 WEST - BATHURST,I,False,,1
3A,1,GDH,3A-UNITE DE SOINS PROLONGES,I,True,,7
3B,1,GDH,3B-MERE ENFANT,I,True,102.712509000,1
3BC,1,GDH,3B CLINIQUE,O,True,102.712509000,0
3BP,1,GDH,3B PARENT/GARDIEN-PENSIONNAIRE,O,True,102.712509000,0
3BPOUP,1,GDH,3B POUPONNIERE,I,True,,9
3BTA,1,GDH,3B-TRAVAIL ACCOUCHEMENT,I,True,,1
3C,1,GDH,3C-MEDECINE GENERALE,I,True,102.712101030,1
3C09A,1,GDH,3C CHAMBRE 09 A (I),O,False,,0
3CC,1,GDH,3C CLINIQUE,O,False,,0
3CSP,1,GDH,3CSP-SOINS PALLIATIFS,I,False,,1
3D,1,GDH,3D-PEDIATRIE,I,True,,1
3DC,1,GDH,3D CLINIQUE,O,True,102.713507010,0
3DCCT,1,GDH,3D CLIN. CONS. TELEPHONIQUE,O,True,102.713507010,0
3DCPEDO,1,GDH,3DC PEDO-PSY,O,True,102.712701000,0
3DPEDOPSY,1,GDH,3D PEDOPSYCHIATRIE,I,True,,1
3E,1,GDH,3E-UNITE DE SOINS PROLONGES,I,True,,7
3F,1,GDH,3F-EVAL./READAPTATION/AVC,I,True,,7
3FSP,1,GDH,3FSP-SOINS PALLIATIFS,I,True,102.712801000,1
3WEST,6,BA,***3 WEST - BATHURST,I,False,,1
4A,1,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,I,True,,1
4B,1,GDH,4B-PSYCHIATRIE,I,True,,1
4BSC,1,GDH,PSYCHIATRIE SOINS-CONCENTRES,I,False,,1
4C,1,GDH,4C-MED GEN/INTERNE/TELEMETRIE,I,True,,1
4CSI,1,GDH,4CSI-SOINS INTERMEDIAIRES,I,False,,1
4D,1,GDH,4D ONCOLOGIE,I,True,,1
4DC,1,GDH,4D CLINIQUE,O,True,102.712106600,0
4E,1,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,I,True,,1
4EAST,6,BA,***4 EAST - BATHURST,I,False,,1
4EGER,1,GDH,4EGER-GERIATRIE,I,False,102.712952000,1
4EPANDEMIE,1,GDH,4E PANDEMIE,O,False,,0
4ESP,1,GDH,4ESP-SOINS PALLIATIFS,I,False,102.712900000,1
4F,1,GDH,4F-NEPHROLOGIE,I,True,,1
4FPANDEMIE,1,GDH,4F PANDEMIE,O,False,,0
4WEST,6,BA,***4 WEST - BATHURST,I,False,,1
AANB,1,GDH,AMBULANCE AERIENNE DU N.-B.,D,True,,
AC,1,GDH,ANCIENS COMBATTANTS,I,False,,8
AC200,1,GDH,ANCIENS COMBATTANTS PHYSIQUES,I,True,,9
AC300,1,GDH,ANCIENS COMBATTANTS COGNITIFS,I,True,,9
AD,1,GDH,ADMINISTRATION,D,True,,
ADM,1,GDH,ADMISSION,D,True,,
ADM AJC,1,GDH,ADMISSION JOUR DE CHIRURGIE,I,True,,8
ADM AJCB,1,GDH,ADM AJCB,D,False,,
ADM UDC,1,GDH,ADM UNITE DEBORDEMENT CRITIQUE,I,True,,8
ADMCSC,1,GDH,ADMISSION AU CSC,I,False,,9
ADMPAN,1,GDH,ADMISSION PANDEMIE,I,False,,9
ADMUR,1,GDH,ADMISSION URGENCE,I,True,,8
ADMURE,1,GDH,ADMISSION URGENCE  EXAMEN,I,True,102.713100000,8
ADMURO,1,GDH,ADMISSION URGENCE  OBSERVATION,I,True,102.713100000,8
ADMURT,1,GDH,ADMISSION URGENCE  TRAUMA,I,True,102.713100000,8
ALBC,1,GDH,ALBERT COUNTY HOSP.,O,False,,9
AMBCARE,5,CRH,AMBULATORY CARE,I,False,,1
ARC,1,GDH,ARCHIVES MEDICALES,D,True,,
AU,1,GDH,AUTRES (ne pas(I)-informatique,O,True,,0
AUB,1,HON,AUBERGE,I,True,,1
AUBC,1,HON,AUBERGE CLINIQUE,O,True,,1
AUD,1,GDH,AUDIOLOGIE,O,True,102.714604000,2
BA1W,6,BA,***1 WEST,I,False,,1
BA1WEST,6,BA,***1 WEST - RM: 101-113,O,False,,
BA2E,6,BA,***2 EAST,I,False,,1
BA2EAST,6,BA,***2 EAST (PEDS)-RM:220-239,O,False,,
BA2W,6,BA,***2 WEST,I,False,,1
BA2WEST,6,BA,***2 WEST-RM:201-218,O,False,,
BA3E,6,BA,***3 EAST,I,False,,1
BA3EAST,6,BA,***3 EAST-RM:318-335,O,False,,
BA3S,6,BA,***SHORT STAY - RM: 318-335,O,False,,
BA3SS,6,BA,***BATHURST - SHORT STAY UNIT,I,False,,1
BA3W,6,BA,***3 WEST,I,False,,1
BA3WEST,6,BA,***3 WEST-RM:301-316,I,False,,1
BA4E,6,BA,***4 EAST,I,False,,1
BA4EAST,6,BA,"***4 EAST-RM:415,421-435",O,False,,
BA4P,6,BA,***PALIATIVE CARE-RM:416-420,O,False,,
BA4PA,6,BA,***BATHURST - PALIATIVE CARE,I,False,,1
BA4W,6,BA,***4 WEST,I,False,,1
BA4WEST,6,BA,***4 WEST-RM:401-414,O,False,,
BABM,6,BA,***BRUNSWICK MINING,O,False,,
BACAMP,6,BA,***CAMPBELLTON SPECIMENS,O,False,,
BACARD,6,BA,***BATHURST CARDIOLOGY,D,False,,
BACSPV,6,BA,***CENTRE DE SANTE PV,O,False,,
BAD2,6,BA,***DAY SURGERY 2 EAST,O,False,,
BAD2E,6,BA,***BATHURST - DAY SURGERY 2 E,I,False,,1
BAD3,6,BA,***DAY SURGERY 3 EAST,O,False,,
BAD3E,6,BA,***BATHURST - DAY SURGERY 3 E,I,False,,1
BADADMCRH,6,BA,DEPT. OF ADMINISTRATION (CHR),D,True,,
BADADMHA,6,BA,DEPT. OF ADMINISTRATION (H.A.),D,True,,
BADAL,6,BA,***DALHOUSIE SPECIMENS,O,False,,
BADAMB,6,BA,DEPT. OF AMBULATORY CARE,D,True,,
BADAMBULAN,6,BA,DEPT. OF AMBULANCE,D,True,,
BADAP,6,BA,DEPT. OF ACCOUNT PAYABLE,D,True,,
BADAR,6,BA,DEPT. OF ACCOUNT RECEIVABLE,D,True,,
BADAUDIO,6,BA,DEPT. OF AUDIOLOGY,D,True,,
BADBIOMED,6,BA,DEPT. OF BIOMEDICAL,D,True,,
BADCARD,6,BA,***CARDIOLOGY DEPARTMENT,D,False,,
