LOCATION,admission_avg,discharge_avg,los_avg
BAILD,1.644,1.0,1.7808764940239044
E IUSI,1.6050420168067228,1.32,7.290102389078498
TRI2N,1.3650793650793651,1.9244186046511629,38.50810810810811
G IUMF1,1.2941176470588236,1.3922651933701657,30.8643216080402
BAISTC,1.06,1.244186046511628,2.436974789915966
4F,1.152,1.5555555555555556,27.106617647058822
CAIURGOBS,1.5450643776824033,0.0,1.574468085106383
BAIRESUNIT,,,
4A,1.3103448275862069,3.708683473389356,25.53021978021978
BAIMIC,1.2969696969696969,1.4541062801932367,7.0181818181818185
3BTA,2.5089820359281436,1.0714285714285714,2.6774193548387095
KGERI,1.0,1.6965811965811965,33.4236641221374
KMEDSURG,2.347962382445141,2.935672514619883,23.23249299719888
KOBS,,,
ADMURT,4.18005540166205,1.0769230769230769,6.964383561643835
TRIURG,1.0769230769230769,1.4788732394366197,5.455587392550143
HTCRG,,1.125,342.2307692307692
BAI2W,1.6307053941908713,2.490506329113924,26.85878962536023
G IUSC,,,
HPGB4,,,
4E,1.2266666666666666,1.9824561403508771,28.579881656804734
BAIEMG,1.726027397260274,1.437125748502994,6.005665722379604
3D,1.121212121212121,2.0965517241379312,9.954692556634305
G IURG,1.1440677966101696,1.1333333333333333,1.4491525423728813
KTRAN,1.0,1.0888888888888888,114.32876712328768
BAISCN,1.2079207920792079,1.2150537634408602,4.060344827586207
3C,,1.2,26.0625
KPOUP,,,
HCRCB3,,,
E IPOU,1.585,1.5576923076923077,2.9466666666666668
HRA4,,,
HFORS,0.75,1.1379310344827587,71.90322580645162
BAISDU,,,
E IGYO,1.733788395904437,1.966887417218543,6.571428571428571
TRIDET,1.2967032967032968,1.5638766519823788,9.127753303964758
E ISIP,,,
KADDUIN,1.2933333333333332,1.4264705882352942,33.181372549019606
BAI2E,1.4685990338164252,1.6058091286307055,4.4363636363636365
BAI1W,1.1224489795918366,2.4819277108433737,9.84660766961652
CAIURG,1.1785714285714286,1.5,5.342205323193916
ADMURO,2.7133956386292835,1.3352601156069364,8.143646408839778
E IURG,3.156156156156156,1.4444444444444444,5.0701754385964914
BAIPSYPED,1.0930232558139534,1.037037037037037,6.984126984126984
TRIMED,1.4724409448818898,2.1717171717171717,46.76143790849673
KMEDI,1.4860335195530727,2.2066666666666666,26.513432835820897
