Date,facility,Unit,Beds,Patient_days,Admissions,Discharges
2026-02-03,GDH,3FSP-SOINS PALLIATIFS,4,4,,
2026-02-04,GDH,3FSP-SOINS PALLIATIFS,4,4,,
2026-02-05,GDH,3FSP-SOINS PALLIATIFS,4,4,,
2026-02-06,GDH,3FSP-SOINS PALLIATIFS,4,4,,
2026-02-07,GDH,3FSP-SOINS PALLIATIFS,4,4,,1
2026-02-08,GDH,3FSP-SOINS PALLIATIFS,4,3,,1
2026-02-09,GDH,3FSP-SOINS PALLIATIFS,4,3,,
2026-02-03,GDH,4F-NEPHROLOGIE,19,20,1,
2026-02-04,GDH,4F-NEPHROLOGIE,19,20,,1
2026-02-05,GDH,4F-NEPHROLOGIE,19,20,1,1
2026-02-06,GDH,4F-NEPHROLOGIE,19,20,1,1
2026-02-07,GDH,4F-NEPHROLOGIE,19,20,,
2026-02-08,GDH,4F-NEPHROLOGIE,19,20,,
2026-02-09,GDH,4F-NEPHROLOGIE,19,19,,1
2026-02-03,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,25,3,7
2026-02-04,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,24,1,4
2026-02-05,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,24,,4
2026-02-06,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,26,,5
2026-02-07,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,24,,3
2026-02-08,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,23,,2
2026-02-09,GDH,4A-CHIR.GENERALE/GYN-ONCO/URO,27,27,1,3
2026-02-03,GDH,3F-EVAL./READAPTATION/AVC,17,17,,2
2026-02-04,GDH,3F-EVAL./READAPTATION/AVC,17,16,,
2026-02-05,GDH,3F-EVAL./READAPTATION/AVC,17,17,,
2026-02-06,GDH,3F-EVAL./READAPTATION/AVC,17,17,,1
2026-02-07,GDH,3F-EVAL./READAPTATION/AVC,17,17,,
2026-02-08,GDH,3F-EVAL./READAPTATION/AVC,17,17,,1
2026-02-09,GDH,3F-EVAL./READAPTATION/AVC,17,17,1,
2026-02-03,GDH,SOINS CORONARIENS,6,4,,
2026-02-04,GDH,SOINS CORONARIENS,6,6,1,1
2026-02-05,GDH,SOINS CORONARIENS,6,6,1,
2026-02-06,GDH,SOINS CORONARIENS,6,3,1,4
2026-02-07,GDH,SOINS CORONARIENS,6,4,,
2026-02-08,GDH,SOINS CORONARIENS,6,6,,
2026-02-09,GDH,SOINS CORONARIENS,6,6,,
2026-02-03,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,30,1,2
2026-02-04,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,30,2,1
2026-02-05,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,31,,
2026-02-06,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,31,2,1
2026-02-07,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,30,,1
2026-02-08,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,31,,
2026-02-09,GDH,4C-MED GEN/INTERNE/TELEMETRIE,30,32,,1
2026-02-03,GDH,4D ONCOLOGIE,23,21,,2
2026-02-04,GDH,4D ONCOLOGIE,23,23,1,1
2026-02-05,GDH,4D ONCOLOGIE,23,22,2,2
2026-02-06,GDH,4D ONCOLOGIE,23,22,,2
2026-02-07,GDH,4D ONCOLOGIE,23,22,,
2026-02-08,GDH,4D ONCOLOGIE,23,22,,
2026-02-09,GDH,4D ONCOLOGIE,23,22,,
2026-02-03,GDH,3D PEDOPSYCHIATRIE,4,4,,
2026-02-04,GDH,3D PEDOPSYCHIATRIE,4,4,,
2026-02-05,GDH,3D PEDOPSYCHIATRIE,4,3,,1
2026-02-06,GDH,3D PEDOPSYCHIATRIE,4,3,,
2026-02-07,GDH,3D PEDOPSYCHIATRIE,4,3,,
2026-02-08,GDH,3D PEDOPSYCHIATRIE,4,3,,
2026-02-09,GDH,3D PEDOPSYCHIATRIE,4,3,,
2026-02-03,GDH,SOINS INT MED CHIRURGICAUX,10,7,1,1
2026-02-04,GDH,SOINS INT MED CHIRURGICAUX,10,6,,2
2026-02-05,GDH,SOINS INT MED CHIRURGICAUX,10,6,,3
2026-02-06,GDH,SOINS INT MED CHIRURGICAUX,10,5,1,1
2026-02-07,GDH,SOINS INT MED CHIRURGICAUX,10,7,1,
2026-02-08,GDH,SOINS INT MED CHIRURGICAUX,10,8,,
2026-02-09,GDH,SOINS INT MED CHIRURGICAUX,10,8,1,
2026-02-03,GDH,SOINS INTERMEDIAIRES,8,8,,1
2026-02-04,GDH,SOINS INTERMEDIAIRES,8,8,,1
2026-02-05,GDH,SOINS INTERMEDIAIRES,8,8,,1
2026-02-06,GDH,SOINS INTERMEDIAIRES,8,8,,1
2026-02-07,GDH,SOINS INTERMEDIAIRES,8,8,,
2026-02-08,GDH,SOINS INTERMEDIAIRES,8,7,,
2026-02-09,GDH,SOINS INTERMEDIAIRES,8,8,,1
2026-02-03,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,26,2,4
2026-02-04,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,28,1,1
2026-02-05,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,28,1,3
2026-02-06,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,27,,2
2026-02-07,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,27,1,1
2026-02-08,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,27,,
2026-02-09,GDH,4E-ORTHOPEDIE/ORL/PLASTIE,25,28,,3
2026-02-03,GDH,3D-PEDIATRIE,9,10,1,
2026-02-04,GDH,3D-PEDIATRIE,9,7,,6
2026-02-05,GDH,3D-PEDIATRIE,9,10,2,
2026-02-06,GDH,3D-PEDIATRIE,9,9,2,4
2026-02-07,GDH,3D-PEDIATRIE,9,8,,2
2026-02-08,GDH,3D-PEDIATRIE,9,9,,2
2026-02-09,GDH,3D-PEDIATRIE,9,6,,4
2026-02-03,GDH,4B-PSYCHIATRIE,24,24,,
2026-02-04,GDH,4B-PSYCHIATRIE,24,24,,1
2026-02-05,GDH,4B-PSYCHIATRIE,24,24,,
2026-02-06,GDH,4B-PSYCHIATRIE,24,23,,3
2026-02-07,GDH,4B-PSYCHIATRIE,24,23,,1
2026-02-08,GDH,4B-PSYCHIATRIE,24,23,,1
2026-02-09,GDH,4B-PSYCHIATRIE,24,22,,3
