unit,final_census,overflow,beds,transfers_out,transfers_in,date
3B,3,0,13,0.0,0.0,2026-02-20
4B,22,0,24,0.0,0.0,2026-02-20
3D,6,0,9,0.0,0.0,2026-02-20
3DPEDOPSY,1,0,4,0.0,0.0,2026-02-20
3FSP,4,0,4,0.0,0.0,2026-02-20
4A,24,0,27,0.0,0.0,2026-02-20
SINTER,7,0,8,0.0,0.0,2026-02-20
3F,17,0,17,0.0,0.0,2026-02-20
4D,20,0,23,0.0,0.0,2026-02-20
4E,25,0,25,1.0,0.0,2026-02-20
4F,19,0,19,0.0,0.0,2026-02-20
SCHIR,9,0,10,0.0,1.0,2026-02-20
SCOR,6,0,6,0.0,0.0,2026-02-20
4C,29,0,30,0.0,0.0,2026-02-20
3DPEDOPSY,1,0,4,0.0,0.0,2026-02-23
SINTER,7,0,8,0.0,0.0,2026-02-23
4A,20,0,27,0.0,0.0,2026-02-23
SCOR,6,0,6,0.0,0.0,2026-02-23
3B,5,0,13,0.0,0.0,2026-02-23
3D,7,0,9,0.0,0.0,2026-02-23
3FSP,4,0,4,0.0,0.0,2026-02-23
3F,17,0,17,0.0,0.0,2026-02-23
4B,20,0,24,0.0,0.0,2026-02-23
4C,28,0,30,0.0,0.0,2026-02-23
4D,20,0,23,0.0,0.0,2026-02-23
4E,25,0,25,2.0,0.0,2026-02-23
4F,19,0,19,0.0,0.0,2026-02-23
SCHIR,9,0,10,0.0,2.0,2026-02-23
SCHIR,8,0,10,0.0,0.0,2026-02-24
4F,19,0,19,0.0,0.0,2026-02-24
4E,25,0,25,1.0,0.0,2026-02-24
4D,20,0,23,0.0,0.0,2026-02-24
4C,28,0,30,0.0,0.0,2026-02-24
4B,20,0,24,0.0,0.0,2026-02-24
3F,17,0,17,0.0,0.0,2026-02-24
3FSP,4,0,4,0.0,0.0,2026-02-24
SCOR,4,0,6,0.0,0.0,2026-02-24
3DPEDOPSY,0,0,4,0.0,0.0,2026-02-24
3D,5,0,9,0.0,1.0,2026-02-24
3B,2,0,13,0.0,0.0,2026-02-24
4A,22,0,27,0.0,0.0,2026-02-24
SINTER,6,0,8,0.0,0.0,2026-02-24
