date,metric_scope,unit,metric_name,metric_value,run_timestamp
2026-02-24,system,,system_occupancy_percent,82.1917808219178,2026-02-24 19:41:24
2026-02-24,system,,system_occupancy_percent,82.1917808219178,2026-02-24 15:57:53
2026-02-24,system,,total_overflow,0.0,2026-02-24 19:41:24
2026-02-24,system,,total_overflow,0.0,2026-02-24 15:57:53
2026-02-24,system,,total_transfers,1.0,2026-02-24 19:41:24
2026-02-24,system,,total_transfers,1.0,2026-02-24 15:57:53
2026-02-24,unit,3B,occupancy_percent,15.384615384615385,2026-02-24 19:41:24
2026-02-24,unit,3B,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,3B,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-24,unit,3D,occupancy_percent,55.55555555555556,2026-02-24 19:41:24
2026-02-24,unit,3D,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,3D,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-24,unit,3DPEDOPSY,occupancy_percent,0.0,2026-02-24 19:41:24
2026-02-24,unit,3DPEDOPSY,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,3DPEDOPSY,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-24,unit,3F,occupancy_percent,100.0,2026-02-24 19:41:24
2026-02-24,unit,3F,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,3F,status_flag,Critical (At Capacity),2026-02-24 19:41:24
2026-02-24,unit,3FSP,occupancy_percent,100.0,2026-02-24 19:41:24
2026-02-24,unit,3FSP,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,3FSP,status_flag,Critical (At Capacity),2026-02-24 19:41:24
2026-02-24,unit,4A,occupancy_percent,81.48148148148148,2026-02-24 19:41:24
2026-02-24,unit,4A,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,4A,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-24,unit,4B,occupancy_percent,83.33333333333333,2026-02-24 19:41:24
2026-02-24,unit,4B,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,4B,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-24,unit,4C,occupancy_percent,93.33333333333333,2026-02-24 19:41:24
2026-02-24,unit,4C,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,4C,status_flag,Danger,2026-02-24 19:41:24
2026-02-24,unit,4D,occupancy_percent,86.95652173913044,2026-02-24 19:41:24
2026-02-24,unit,4D,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,4D,status_flag,Acceptable,2026-02-24 19:41:24
2026-02-24,unit,4E,occupancy_percent,100.0,2026-02-24 19:41:24
2026-02-24,unit,4E,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,4E,status_flag,Critical (At Capacity),2026-02-24 19:41:24
2026-02-24,unit,4F,occupancy_percent,100.0,2026-02-24 19:41:24
2026-02-24,unit,4F,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,4F,status_flag,Critical (At Capacity),2026-02-24 19:41:24
2026-02-24,unit,SCHIR,occupancy_percent,80.0,2026-02-24 19:41:24
2026-02-24,unit,SCHIR,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,SCHIR,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-24,unit,SCOR,occupancy_percent,66.66666666666667,2026-02-24 19:41:24
2026-02-24,unit,SCOR,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,SCOR,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-24,unit,SINTER,occupancy_percent,75.0,2026-02-24 19:41:24
2026-02-24,unit,SINTER,overflow,0.0,2026-02-24 19:41:24
2026-02-24,unit,SINTER,status_flag,Low Utilization,2026-02-24 19:41:24
2026-02-25,system,,system_occupancy_percent,85.84474885844749,2026-02-25 10:24:06
2026-02-25,system,,total_overflow,0.0,2026-02-25 10:24:06
2026-02-25,system,,total_transfers,1.0,2026-02-25 10:24:06
2026-02-25,unit,3B,occupancy_percent,30.76923076923077,2026-02-25 10:24:06
2026-02-25,unit,3B,overflow,0.0,2026-02-25 10:24:06
2026-02-25,unit,3B,status_flag,Low Utilization,2026-02-25 10:24:06
2026-02-25,unit,3D,occupancy_percent,66.66666666666667,2026-02-25 10:24:06
2026-02-25,unit,3D,overflow,0.0,2026-02-25 10:24:06
2026-02-25,unit,3D,status_flag,Low Utilization,2026-02-25 10:24:06
2026-02-25,unit,3DPEDOPSY,occupancy_percent,25.0,2026-02-25 10:24:06
2026-02-25,unit,3DPEDOPSY,overflow,0.0,2026-02-25 10:24:06
2026-02-25,unit,3DPEDOPSY,status_flag,Low Utilization,2026-02-25 10:24:06
2026-02-25,unit,3F,occupancy_percent,100.0,2026-02-25 10:24:06
2026-02-25,unit,3F,overflow,0.0,2026-02-25 10:24:06
2026-02-25,unit,3F,status_flag,Critical (At Capacity),2026-02-25 10:24:06
2026-02-25,unit,3FSP,occupancy_percent,100.0,2026-02-25 10:24:06
2026-02-25,unit,3FSP,overflow,0.0,2026-02-25 10:24:06
2026-02-25,unit,3FSP,status_flag,Critical (At Capacity),2026-02-25 10:24:06
2026-02-25,unit,4A,occupancy_percent,85.18518518518519,2026-02-25 10:24:06
